DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,AL,2023,28607,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,AT,2023,262678,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,BA,2023,37345,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,BE,2023,331626,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,BG,2023,115171,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,CH,2023,257366,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,CPC1,2023,186656,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,CY,2023,22636,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,CZ,2023,212316,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,DE,2023,2407277,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,DK,2023,160749,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,EE,2023,25965,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,EL,2023,204850,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,ES,2023,1049700,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,EU27_2020,2023,11105182,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,FI,2023,150614,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,FR,2023,1805272,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,HR,2023,74084,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,HU,2023,164897,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,IE,2023,122867,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,IS,2023,11340,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,IT,2023,1474762,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,LT,2023,64898,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,LU,2023,22686,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,LV,2023,34761,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,ME,2023,9840,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,MK,2023,23369,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,MT,2023,11497,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,NL,2023,513199,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,NO,2023,172254,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,PL,2023,800572,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,PT,2023,223710,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,RO,2023,416814,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,RS,2023,87494,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,SE,2023,283878,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,SI,2023,45226,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,SK,2023,102476,
ESTAT:PRC_PPP_IND(1.0),19/06/24 23:00:00,A,EXP_PPS_EU27_2020,A01,TR,2023,1810670,
